ticker,one_year_price_return,one_year_return_percentile,six_month_price_return,six_month_return_percentile,three_month_price_return,three_month_return_percentile,one_month_price_return,one_month_return_percentile,momentum_score,price-to-earnings_ratio,pe_percentile,price-to-book_ratio,pb_percentile,price-to-sales_ratio,ps_percentile,ev/ebitda,ev/ebitda_percentile,ev/gp,ev/gp_percentile,value_score,stock_price,market_capitalization,number_of_share_to_buy,price,shares_to_buy
LW,,,,,,,,,,,,,,,,,,,,,84.6,11903365183.0,34.0,,
LYB,,,,,,,,,,,,,,,,,,,,,103.6,35900597113.0,27.0,,
LYV,,,,,,,,,,,,,,,,,,,,,89.06,20191542136.0,32.0,,
MA,,,,,,,,,,,,,,,,,,,,,389.04,368112845475.0,7.0,,
MAA,,,,,,,,,,,,,,,,,,,,,175.77,19969030644.0,16.0,,
MAR,,,,,,,,,,,,,,,,,,,,,142.52,47604683223.0,20.0,,
MAS,,,,,,,,,,,,,,,,,,,,,61.98,15362319570.0,46.0,,
MCD,,,,,,,,,,,,,,,,,,,,,236.69,177005159857.0,12.0,,
MCHP,,,,,,,,,,,,,,,,,,,,,149.8,41743557404.0,19.0,,
MCK,,,,,,,,,,-7.06,0.099,-1507.2,0.004,0.13,0.01,7.57,0.09300000000000001,2.61,0.105,6.2,200.55,31525288027.0,14.0,195.8,12363.0
MCO,,,,,,,,,,,,,,,,,,,,,382.8,71571037831.0,7.0,,
MDLZ,,,,,,,,,,,,,,,,,,,,,62.8,89001577501.0,45.0,,
MDT,,,,,,,,,,,,,,,,,,,,,128.38,174794285168.0,22.0,,
MET,,,,,,,,,,,,,,,,,,,,,62.3,53347372952.0,46.0,,
MGM,1.6378,0.9802,0.3994,0.8891,0.09939999999999999,0.6673,0.0031,0.5683,77.62,,,,,,,,,,,,43.35,21997523796.0,66.0,45.18,1790.0
MHK,,,,,,,,,,,,,,,,,,,,,199.98,14117288140.0,14.0,,
MKC,,,,,,,,,,,,,,,,,,,,,89.03,24271565512.0,32.0,,
MKTX,,,,,,,,,,,,,,,,,,,,,468.47,17749906345.0,6.0,,
MLM,,,,,,,,,,,,,,,,,,,,,352.2,22851873415.0,8.0,,
MMC,,,,,,,,,,,,,,,,,,,,,148.95,76130658239.0,19.0,,
MMM,,,,,,,,,,,,,,,,,,,,,206.4,115884796555.0,13.0,,
MNST,,,,,,,,,,,,,,,,,,,,,96.14,49552372729.0,29.0,,
MO,,,,,,,,,,,,,,,,,,,,,47.9,91208737145.0,60.0,,
MOS,,,,,,,,,,,,,,,,,,,,,31.72,12109637525.0,90.0,,
MPC,,,,,,,,,,,,,,,,,,,,,63.05,39822554703.0,45.0,,
MRK,,,,,,,,,,,,,,,,,,,,,81.45,206116465050.0,35.0,,
MRO,1.4158000000000002,0.9682999999999999,1.1628,1.0,0.2086,0.9287000000000001,0.0304,0.7248,90.54,,,,,,,,,,,,14.5,11399176638.0,198.0,13.97,5790.0
MS,1.0165,0.897,0.35700000000000004,0.8395999999999999,0.19039999999999999,0.9089,-0.001,0.5327000000000001,79.46,,,,,,,,,,,,95.45,176470849212.0,30.0,94.39,857.0
MSCI,0.5895,0.6198,0.20800000000000002,0.5505,0.2511,0.9682999999999999,0.1624,0.9782,77.92,,,,,,,,,,,,537.29,44239617529.0,5.0,549.59,147.0
MSFT,,,,,,,,,,,,,,,,,,,,,277.4,2153891769762.0,10.0,,
